locus_tag	ftype	length_bp	gene	EC_number	COG	product
MLDGMJPK_00697	CDS	2046	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
MLDGMJPK_00698	CDS	411	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
MLDGMJPK_00699	CDS	1821	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
MLDGMJPK_00700	CDS	1974	uvrB		COG0556	UvrABC system protein B
MLDGMJPK_00701	CDS	231				hypothetical protein
MLDGMJPK_00702	CDS	243				hypothetical protein
MLDGMJPK_00703	CDS	438				hypothetical protein
MLDGMJPK_00704	CDS	1854	priA	3.6.4.-	COG1198	Primosomal protein N'
MLDGMJPK_00705	CDS	303				hypothetical protein
MLDGMJPK_00706	CDS	849				hypothetical protein
MLDGMJPK_00707	CDS	1074	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
MLDGMJPK_00708	CDS	699	flgH			Flagellar L-ring protein
MLDGMJPK_00709	CDS	1503				hypothetical protein
MLDGMJPK_00710	CDS	1191	ackA	2.7.2.1	COG0282	Acetate kinase
MLDGMJPK_00711	CDS	3753				hypothetical protein
MLDGMJPK_00712	CDS	492				hypothetical protein
MLDGMJPK_00713	CDS	939				hypothetical protein
MLDGMJPK_00714	CDS	933	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
MLDGMJPK_00715	CDS	1491	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
MLDGMJPK_00716	CDS	1383	ftsA			Cell division protein FtsA
MLDGMJPK_00717	CDS	1113	ftsZ			Cell division protein FtsZ
MLDGMJPK_00718	CDS	813	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
MLDGMJPK_00719	CDS	792	flgG_2		COG4786	Flagellar basal-body rod protein FlgG
MLDGMJPK_00720	CDS	1431	glnA	6.3.1.2	COG0174	Glutamine synthetase
MLDGMJPK_00721	CDS	696				hypothetical protein
MLDGMJPK_00722	CDS	1254	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
MLDGMJPK_00723	CDS	495	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
MLDGMJPK_00724	CDS	537				hypothetical protein
MLDGMJPK_00725	CDS	864	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
MLDGMJPK_00726	CDS	726		3.5.4.16	COG0327	GTP cyclohydrolase 1 type 2
MLDGMJPK_00727	CDS	717				hypothetical protein
MLDGMJPK_00728	CDS	1158	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
MLDGMJPK_00729	CDS	753				hypothetical protein
MLDGMJPK_00730	CDS	1338	ffh		COG0541	Signal recognition particle protein
MLDGMJPK_00731	CDS	228	rpsP			30S ribosomal protein S16
MLDGMJPK_00732	CDS	243				hypothetical protein
MLDGMJPK_00733	CDS	540	rimM			Ribosome maturation factor RimM
MLDGMJPK_00734	CDS	705	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
MLDGMJPK_00735	CDS	357	rplS			50S ribosomal protein L19
MLDGMJPK_00736	CDS	414	hiuH	3.5.2.17		5-hydroxyisourate hydrolase
MLDGMJPK_00737	CDS	1341	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
MLDGMJPK_00738	CDS	330			COG1393	putative protein
MLDGMJPK_00739	CDS	3603	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
MLDGMJPK_00740	CDS	633			COG0325	Pyridoxal phosphate homeostasis protein
MLDGMJPK_00741	CDS	747	flaC			Secreted flagellin C
MLDGMJPK_00742	CDS	471				hypothetical protein
MLDGMJPK_00743	CDS	816	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
MLDGMJPK_00744	CDS	1188	htpX	3.4.24.-		Protease HtpX
MLDGMJPK_00745	CDS	186				hypothetical protein
MLDGMJPK_00746	CDS	543	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
MLDGMJPK_00747	CDS	984	corA		COG0598	Magnesium transport protein CorA
MLDGMJPK_00748	CDS	1047				hypothetical protein
MLDGMJPK_00749	CDS	1326				hypothetical protein
MLDGMJPK_00750	CDS	807				hypothetical protein
MLDGMJPK_00751	CDS	840				hypothetical protein
MLDGMJPK_00752	CDS	780				hypothetical protein
MLDGMJPK_00753	CDS	984	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
MLDGMJPK_00754	CDS	639		3.1.3.-	COG0560	putative phosphatase
MLDGMJPK_00755	CDS	756	hisJ			putative histidine-binding protein
MLDGMJPK_00756	CDS	1209	murD2	6.3.2.53	COG0771	UDP-N-acetylmuramoyl-L-alanine--L-glutamate ligase
MLDGMJPK_00757	CDS	1062	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
MLDGMJPK_00758	CDS	1479	gpmI	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
MLDGMJPK_00759	CDS	744	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MLDGMJPK_00760	CDS	408				hypothetical protein
MLDGMJPK_00761	CDS	1836	sdhA	1.3.5.-	COG1053	8-methylmenaquinol:fumarate reductase flavoprotein subunit
MLDGMJPK_00762	CDS	966	sdhB	1.3.5.-	COG0479	8-methylmenaquinol:fumarate reductase iron-sulfur subunit
MLDGMJPK_00763	CDS	858	sdhE	1.3.5.-	COG2048	8-methylmenaquinol:fumarate reductase membrane anchor subunit
MLDGMJPK_00764	CDS	666	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
MLDGMJPK_00765	CDS	234	acpP			Acyl carrier protein
MLDGMJPK_00766	CDS	1215	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
MLDGMJPK_00767	CDS	939	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
MLDGMJPK_00768	CDS	588	btuB_2			Vitamin B12 transporter BtuB
MLDGMJPK_00769	CDS	540				hypothetical protein
MLDGMJPK_00770	CDS	930	fepA		COG4771	Ferrienterobactin receptor
MLDGMJPK_00771	CDS	597				hypothetical protein
MLDGMJPK_00772	CDS	1098				hypothetical protein
MLDGMJPK_00773	CDS	216				hypothetical protein
MLDGMJPK_00774	CDS	195	rpmB		COG0227	50S ribosomal protein L28
MLDGMJPK_00775	CDS	648	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
MLDGMJPK_00776	CDS	762	dinG	3.1.-.-		3'-5' exonuclease DinG
MLDGMJPK_00777	CDS	1293	bzaF	4.1.99.23	COG0422	5-hydroxybenzimidazole synthase
MLDGMJPK_00778	CDS	519				hypothetical protein
MLDGMJPK_00779	CDS	528				hypothetical protein
MLDGMJPK_00780	CDS	960				hypothetical protein
MLDGMJPK_00781	CDS	651				hypothetical protein
MLDGMJPK_00782	CDS	1302	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
MLDGMJPK_00783	CDS	243				hypothetical protein
MLDGMJPK_00784	CDS	1089	nusA		COG0195	Transcription termination/antitermination protein NusA
MLDGMJPK_00785	CDS	1188				hypothetical protein
MLDGMJPK_00786	CDS	1047	mqnC	1.21.98.1	COG1060	Cyclic dehypoxanthine futalosine synthase
MLDGMJPK_00787	CDS	1221				hypothetical protein
MLDGMJPK_00788	CDS	1824	recG	3.6.4.12		ATP-dependent DNA helicase RecG
MLDGMJPK_00789	CDS	384	ctb		COG2346	Group 3 truncated hemoglobin ctb
MLDGMJPK_00790	CDS	597	vfr		COG0664	Cyclic AMP receptor-like protein
MLDGMJPK_00791	CDS	702	yecS		COG0765	L-cystine transport system permease protein YecS
MLDGMJPK_00792	CDS	657	glnP		COG0765	putative glutamine ABC transporter permease protein GlnP
MLDGMJPK_00793	CDS	762	glnQ_3			Glutamine transport ATP-binding protein GlnQ
MLDGMJPK_00794	tRNA	76				tRNA-Thr(tgt)
MLDGMJPK_00795	tRNA	86				tRNA-Tyr(gta)
MLDGMJPK_00796	tRNA	77				tRNA-Gly(tcc)
MLDGMJPK_00797	tRNA	75				tRNA-Thr(ggt)
MLDGMJPK_00798	CDS	1200	tufA		COG0050	Elongation factor Tu
MLDGMJPK_00799	CDS	159	rpmG2			50S ribosomal protein L33 2
MLDGMJPK_00800	tRNA	76				tRNA-Trp(cca)
MLDGMJPK_00801	CDS	180				hypothetical protein
MLDGMJPK_00802	CDS	534	nusG		COG0250	Transcription termination/antitermination protein NusG
MLDGMJPK_00803	CDS	426	rplK		COG0080	50S ribosomal protein L11
MLDGMJPK_00804	CDS	702	rplA		COG0081	50S ribosomal protein L1
MLDGMJPK_00805	CDS	480	rplJ		COG0244	50S ribosomal protein L10
MLDGMJPK_00806	CDS	378	rplL		COG0222	50S ribosomal protein L7/L12
MLDGMJPK_00807	CDS	4128	rpoBC_1	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
MLDGMJPK_00808	CDS	4554	rpoBC_2	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
MLDGMJPK_00809	CDS	762	kdgR			Pectin degradation repressor protein KdgR
MLDGMJPK_00810	CDS	909	dapA_2	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
MLDGMJPK_00811	CDS	264	uxaA_1	4.2.1.7	COG2721	Altronate dehydratase
MLDGMJPK_00812	CDS	1167	uxaA_2	4.2.1.7	COG2721	Altronate dehydratase
MLDGMJPK_00813	CDS	1287	rhmT			Inner membrane transport protein RhmT
MLDGMJPK_00814	CDS	789	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
MLDGMJPK_00815	CDS	1257	fucP		COG0738	L-fucose-proton symporter
MLDGMJPK_00816	CDS	771				hypothetical protein
MLDGMJPK_00817	CDS	318	rhaM	5.1.3.32		L-rhamnose mutarotase
MLDGMJPK_00818	CDS	1440	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
MLDGMJPK_00819	CDS	387	rpsL		COG0048	30S ribosomal protein S12
MLDGMJPK_00820	CDS	471	rpsG		COG0049	30S ribosomal protein S7
MLDGMJPK_00821	CDS	2076	fusA		COG0480	Elongation factor G
MLDGMJPK_00822	tRNA	77				tRNA-Arg(cct)
MLDGMJPK_00823	CDS	702	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
MLDGMJPK_00824	CDS	375				hypothetical protein
MLDGMJPK_00825	CDS	1278				hypothetical protein
MLDGMJPK_00826	CDS	777	trpC_1	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
MLDGMJPK_00827	CDS	486		2.7.7.53	COG0537	AP-4-A phosphorylase
MLDGMJPK_00828	CDS	999	selU	2.5.1.-		tRNA 2-selenouridine synthase
MLDGMJPK_00829	CDS	654	amt			Ammonia channel
MLDGMJPK_00830	CDS	912	hemH	4.99.1.1	COG0276	Ferrochelatase
MLDGMJPK_00831	CDS	867	iolG	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
MLDGMJPK_00832	CDS	1074	wbpE	2.6.1.98	COG0399	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
MLDGMJPK_00833	CDS	2529	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
MLDGMJPK_00834	CDS	552	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
MLDGMJPK_00835	CDS	1932	pbpF		COG0744	Penicillin-binding protein 1F
MLDGMJPK_00836	CDS	2574	clpB		COG0542	Chaperone protein ClpB
MLDGMJPK_00837	CDS	291	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
MLDGMJPK_00838	CDS	1320	ctpB	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpB
MLDGMJPK_00839	CDS	711	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
MLDGMJPK_00840	CDS	246	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
MLDGMJPK_00841	CDS	672	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
MLDGMJPK_00842	CDS	1197				hypothetical protein
MLDGMJPK_00843	CDS	693				hypothetical protein
MLDGMJPK_00844	CDS	369	crcB		COG0239	Putative fluoride ion transporter CrcB
MLDGMJPK_00845	CDS	1827	htpG		COG0326	Chaperone protein HtpG
MLDGMJPK_00846	CDS	318				hypothetical protein
MLDGMJPK_00847	CDS	435				hypothetical protein
MLDGMJPK_00848	CDS	483				hypothetical protein
MLDGMJPK_00849	CDS	276				hypothetical protein
MLDGMJPK_00850	CDS	702				hypothetical protein
MLDGMJPK_00851	CDS	1809	penA	3.4.16.4	COG0768	putative peptidoglycan D,D-transpeptidase PenA
MLDGMJPK_00852	CDS	297	fliE			Flagellar hook-basal body complex protein FliE
MLDGMJPK_00853	CDS	495	flgC		COG1558	Flagellar basal-body rod protein FlgC
MLDGMJPK_00854	CDS	432				hypothetical protein
MLDGMJPK_00855	CDS	780	mltG	4.2.2.-		Endolytic murein transglycosylase
MLDGMJPK_00856	CDS	2571				hypothetical protein
MLDGMJPK_00857	CDS	2205	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
MLDGMJPK_00858	CDS	903	mdh	1.1.1.37	COG0039	Malate dehydrogenase
MLDGMJPK_00859	CDS	1164	sucC	6.2.1.5		Succinate--CoA ligase [ADP-forming] subunit beta
MLDGMJPK_00860	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
MLDGMJPK_00861	CDS	312	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
MLDGMJPK_00862	CDS	1125	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
MLDGMJPK_00863	CDS	846				hypothetical protein
MLDGMJPK_00864	CDS	558				hypothetical protein
MLDGMJPK_00865	CDS	264				hypothetical protein
MLDGMJPK_00866	CDS	537				hypothetical protein
MLDGMJPK_00867	CDS	894	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
MLDGMJPK_00868	CDS	1299	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
MLDGMJPK_00869	CDS	1707	proS	6.1.1.15	COG0442	Proline--tRNA ligase
MLDGMJPK_00870	CDS	390				hypothetical protein
MLDGMJPK_00871	CDS	924	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
MLDGMJPK_00872	CDS	1803	ubiD	4.1.1.98		3-octaprenyl-4-hydroxybenzoate carboxy-lyase
MLDGMJPK_00873	CDS	366				hypothetical protein
MLDGMJPK_00874	CDS	1932				hypothetical protein
MLDGMJPK_00875	CDS	387	fliS			Flagellar secretion chaperone FliS
MLDGMJPK_00876	CDS	276				hypothetical protein
MLDGMJPK_00877	CDS	570	efp		COG0231	Elongation factor P
MLDGMJPK_00878	CDS	693				hypothetical protein
MLDGMJPK_00879	CDS	954				hypothetical protein
MLDGMJPK_00880	CDS	1005				hypothetical protein
MLDGMJPK_00881	CDS	1287				hypothetical protein
MLDGMJPK_00882	CDS	759		3.1.1.92		4-sulfomuconolactone hydrolase
MLDGMJPK_00883	CDS	1017				hypothetical protein
MLDGMJPK_00884	CDS	1233	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
MLDGMJPK_00885	CDS	936		1.18.1.2	COG0492	Ferredoxin--NADP reductase
MLDGMJPK_00886	CDS	1329	mepA			Multidrug export protein MepA
MLDGMJPK_00887	CDS	930				hypothetical protein
MLDGMJPK_00888	CDS	1377	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
MLDGMJPK_00889	CDS	195				hypothetical protein
MLDGMJPK_00890	CDS	342				hypothetical protein
MLDGMJPK_00891	CDS	207				hypothetical protein
MLDGMJPK_00892	CDS	279				hypothetical protein
MLDGMJPK_00893	CDS	1467				hypothetical protein
MLDGMJPK_00894	CDS	114				hypothetical protein
MLDGMJPK_00895	CDS	282				hypothetical protein
MLDGMJPK_00896	CDS	870				hypothetical protein
MLDGMJPK_00897	CDS	1068				hypothetical protein
MLDGMJPK_00898	CDS	873				hypothetical protein
MLDGMJPK_00899	tRNA	76				tRNA-Met(cat)
MLDGMJPK_00900	tRNA	75				tRNA-Gln(ttg)
MLDGMJPK_00901	CDS	1020	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
MLDGMJPK_00902	CDS	444	yqeY		COG1610	putative protein YqeY
MLDGMJPK_00903	CDS	1701	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
MLDGMJPK_00904	CDS	465	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
MLDGMJPK_00905	CDS	966	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
MLDGMJPK_00906	CDS	1029	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
MLDGMJPK_00907	CDS	738	tatC		COG0805	Sec-independent protein translocase protein TatC
MLDGMJPK_00908	CDS	417	tatB			Sec-independent protein translocase protein TatB
MLDGMJPK_00909	CDS	1068	hemW		COG0635	Heme chaperone HemW
MLDGMJPK_00910	CDS	471	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
MLDGMJPK_00911	CDS	1179	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
MLDGMJPK_00912	CDS	666	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
MLDGMJPK_00913	CDS	807				hypothetical protein
MLDGMJPK_00914	CDS	1194				hypothetical protein
MLDGMJPK_00915	CDS	720	pyrH	2.7.4.22	COG0528	Uridylate kinase
MLDGMJPK_00916	CDS	225	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
MLDGMJPK_00917	CDS	2196	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
MLDGMJPK_00918	CDS	1206	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
MLDGMJPK_00919	CDS	1092				hypothetical protein
MLDGMJPK_00920	CDS	1980				hypothetical protein
MLDGMJPK_00921	CDS	1842	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
MLDGMJPK_00922	CDS	1140	hydA	1.12.5.1	COG1740	Quinone-reactive Ni/Fe-hydrogenase small chain
MLDGMJPK_00923	CDS	1716	hydB	1.12.5.1	COG0374	Quinone-reactive Ni/Fe-hydrogenase large chain
MLDGMJPK_00924	CDS	693	hydC		COG1969	Quinone-reactive Ni/Fe-hydrogenase B-type cytochrome subunit
MLDGMJPK_00925	CDS	504				hypothetical protein
MLDGMJPK_00926	CDS	573	recR		COG0353	Recombination protein RecR
MLDGMJPK_00927	CDS	1236				hypothetical protein
MLDGMJPK_00928	CDS	672	regX3_1		COG0745	Sensory transduction protein regX3
MLDGMJPK_00929	CDS	1122	dnaJ		COG0484	Chaperone protein DnaJ
MLDGMJPK_00930	CDS	1278	porA			Major outer membrane protein
MLDGMJPK_00931	CDS	456	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
MLDGMJPK_00932	CDS	1185	sbnD			Staphyloferrin B transporter
MLDGMJPK_00933	CDS	663				hypothetical protein
MLDGMJPK_00934	CDS	210		5.3.2.-	COG1942	putative tautomerase
MLDGMJPK_00935	CDS	483				hypothetical protein
MLDGMJPK_00936	CDS	2160	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
MLDGMJPK_00937	CDS	2049	lptD			LPS-assembly protein LptD
MLDGMJPK_00938	CDS	453				hypothetical protein
MLDGMJPK_00939	CDS	1251	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
MLDGMJPK_00940	CDS	1461				hypothetical protein
MLDGMJPK_00941	CDS	1536	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
MLDGMJPK_00942	CDS	495				hypothetical protein
MLDGMJPK_00943	CDS	1803	uvrC		COG0322	UvrABC system protein C
MLDGMJPK_00944	CDS	1197				hypothetical protein
MLDGMJPK_00945	CDS	903	moaA_1			GTP 3',8-cyclase
MLDGMJPK_00946	CDS	1023	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
MLDGMJPK_00947	CDS	321				hypothetical protein
MLDGMJPK_00948	CDS	1200	araJ		COG2814	Putative transporter AraJ
MLDGMJPK_00949	CDS	603				hypothetical protein
MLDGMJPK_00950	CDS	1095	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
MLDGMJPK_00951	CDS	774	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
MLDGMJPK_00952	CDS	975	gppA_1	3.6.1.40		Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
MLDGMJPK_00953	CDS	951				hypothetical protein
MLDGMJPK_00954	CDS	822				hypothetical protein
MLDGMJPK_00955	CDS	1995	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
MLDGMJPK_00956	CDS	621	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
MLDGMJPK_00957	CDS	333				hypothetical protein
MLDGMJPK_00958	CDS	1626	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
MLDGMJPK_00959	CDS	375				hypothetical protein
MLDGMJPK_00960	CDS	894	cbpA		COG2214	Curved DNA-binding protein
MLDGMJPK_00961	CDS	1419	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
MLDGMJPK_00962	CDS	675	regX3_2		COG0745	Sensory transduction protein regX3
MLDGMJPK_00963	CDS	1248				hypothetical protein
MLDGMJPK_00964	tRNA	75				tRNA-Asn(gtt)
MLDGMJPK_00965	CDS	249				hypothetical protein
MLDGMJPK_00966	CDS	600				Bacteriohemerythrin
MLDGMJPK_00967	CDS	666	mprA_1		COG0745	Response regulator MprA
MLDGMJPK_00968	CDS	1191	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
MLDGMJPK_00969	CDS	1638	groL			60 kDa chaperonin
MLDGMJPK_00970	CDS	261	groS		COG0234	10 kDa chaperonin
MLDGMJPK_00971	CDS	2541				hypothetical protein
MLDGMJPK_00972	CDS	612	ribE	2.5.1.9		Riboflavin synthase
MLDGMJPK_00973	CDS	681				hypothetical protein
MLDGMJPK_00974	CDS	204				hypothetical protein
MLDGMJPK_00975	CDS	1161	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
MLDGMJPK_00976	CDS	726	pgbA			Plasminogen-binding protein PgbA
MLDGMJPK_00977	CDS	1383		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
MLDGMJPK_00978	CDS	807				hypothetical protein
MLDGMJPK_00979	CDS	1260				hypothetical protein
MLDGMJPK_00980	CDS	558	yohD_2		COG0586	Inner membrane protein YohD
MLDGMJPK_00981	CDS	1554	rny	3.1.-.-	COG1418	Ribonuclease Y
MLDGMJPK_00982	CDS	558	resA_2		COG0526	Thiol-disulfide oxidoreductase ResA
MLDGMJPK_00983	CDS	867	ftsY		COG0552	Signal recognition particle receptor FtsY
MLDGMJPK_00984	CDS	1341	radA	3.6.4.-	COG1066	DNA repair protein RadA
MLDGMJPK_00985	CDS	681	atpB		COG0356	ATP synthase subunit a
MLDGMJPK_00986	CDS	849	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
MLDGMJPK_00987	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
MLDGMJPK_00988	CDS	771			COG1464	Membrane lipoprotein TpN32
MLDGMJPK_00989	CDS	993				hypothetical protein
MLDGMJPK_00990	CDS	495	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
MLDGMJPK_00991	CDS	1419	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
MLDGMJPK_00992	CDS	894	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
MLDGMJPK_00993	CDS	1179	pyrC_1	3.5.2.3	COG0044	Dihydroorotase
MLDGMJPK_00994	CDS	1527				hypothetical protein
MLDGMJPK_00995	CDS	807				hypothetical protein
MLDGMJPK_00996	CDS	1377	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
MLDGMJPK_00997	CDS	495	aer_1		COG0840	Aerotaxis receptor
MLDGMJPK_00998	CDS	1383				hypothetical protein
MLDGMJPK_00999	CDS	498	aer_2		COG0840	Aerotaxis receptor
MLDGMJPK_01000	CDS	1860	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
MLDGMJPK_01001	CDS	1287	arsB		COG1055	Arsenical pump membrane protein
MLDGMJPK_01002	CDS	504	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
MLDGMJPK_01003	CDS	1251	petB		COG1290	Cytochrome b
MLDGMJPK_01004	CDS	1125				hypothetical protein
MLDGMJPK_01005	CDS	1164	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
MLDGMJPK_01006	CDS	792	rpsB		COG0052	30S ribosomal protein S2
MLDGMJPK_01007	CDS	1074	tsf		COG0264	Elongation factor Ts
MLDGMJPK_01008	CDS	636	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
MLDGMJPK_01009	CDS	768	fliR		COG1684	Flagellar biosynthetic protein FliR
MLDGMJPK_01010	CDS	876	zupT		COG0428	Zinc transporter ZupT
MLDGMJPK_01011	CDS	2517	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
MLDGMJPK_01012	CDS	576	torC		COG3005	Cytochrome c-type protein TorC
MLDGMJPK_01013	CDS	510				hypothetical protein
MLDGMJPK_01014	CDS	531				hypothetical protein
MLDGMJPK_01015	CDS	1089				hypothetical protein
MLDGMJPK_01016	CDS	915	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
MLDGMJPK_01017	CDS	207		5.3.2.-	COG1942	putative tautomerase
MLDGMJPK_01018	CDS	456	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
MLDGMJPK_01019	CDS	1092	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
MLDGMJPK_01020	CDS	441	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
MLDGMJPK_01021	CDS	792	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
MLDGMJPK_01022	CDS	1224	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
MLDGMJPK_01023	CDS	1041	mreB		COG1077	Cell shape-determining protein MreB
MLDGMJPK_01024	CDS	750				hypothetical protein
MLDGMJPK_01025	CDS	3270	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
MLDGMJPK_01026	CDS	423				hypothetical protein
MLDGMJPK_01027	CDS	978	tal	2.2.1.2		Transaldolase
MLDGMJPK_01028	CDS	624	serB	3.1.3.3		Phosphoserine phosphatase
MLDGMJPK_01029	CDS	522	cheW		COG0835	Chemotaxis protein CheW
MLDGMJPK_01030	CDS	2310	rcsC	2.7.13.3		Sensor histidine kinase RcsC
MLDGMJPK_01031	CDS	957	cheV		COG0784	Chemotaxis protein CheV
MLDGMJPK_01032	CDS	636				hypothetical protein
MLDGMJPK_01033	CDS	486	greA		COG0782	Transcription elongation factor GreA
MLDGMJPK_01034	CDS	1095	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
MLDGMJPK_01035	CDS	753				hypothetical protein
MLDGMJPK_01036	CDS	597	pgtP_1		COG2271	Phosphoglycerate transporter protein
